Algus,Kestus,Temperatuur,Pöördeid min,Kava,Veenäit enne,Veenäit pärast,Veekulu (l),kWh
2020.2.20 2:46,0:47,30,800,villapesu,299.30799999999999,299.35700000000003,4.9000000000035016,1
2020.2.20 6:29,0:54,40,400,sünteetika,299.36099999999999,,,0.40000000000000002
2020.2.20 22:45,0:47,40,800,villapesu,299.44900000000001,,,0.40000000000000002
2020.2.22 19:36,1:54,40,1000,segakiud,299.58300000000003,299.64999999999998,6.6999999999950433,0.69999999999999996
2020.2.23 21:49,0:47,30,800,villapesu,299.702,299.75,4.8000000000001819,0.59999999999999998
2020.2.26 15:54,0:47,40,800,villapesu,299.899,,,0.5
2020.2.29 17:10,2:48,30,1300,puuvill,300.06700000000001,,,0.40000000000000002
2020.3.7 17:32,0:54,40,400,sünteetika,300.50799999999998,,,0.59999999999999998
2020.3.8 13:32,0:54,30,400,sünteetika,300.59399999999999,300.64499999999998,5.0999999999987722,0.59999999999999998
2020.3.8 15:51,0:47,30,800,villapesu,300.65199999999999,300.70600000000002,5.4000000000030468,0.20000000000000001
2020.3.17 12:31,0:54,40,400,sünteetika,301.12400000000002,,,0.40000000000000002
2020.4.6 17:21,,,,autoclean,302.12299999999999,302.13900000000001,1.6000000000019554,1.3
2020.4.6 20:25,0:09,,1000,drain,302.13900000000001,,,
2020.4.12 14:06,0:54,30,400,sünteetika,302.375,,,0.5
2020.4.13 16:57,2:48,40,1000,puuvill,302.46600000000001,,,1.7
2020.4.14 16:25,0:47,40,800,villapesu,302.59899999999999,,,
2020.4.19 9:33,0:47,30,800,villapesu,303.02499999999998,303.07799999999997,5.2999999999997272,0.80000000000000004
2020.4.20 13:54,0:47,30,800,villapesu,303.13499999999999,,,
2020.4.21 17:57,0:47,30,800,käsipesu,303.26600000000002,303.31299999999999,4.6999999999968622,0.20000000000000001
2020.4.22 16:59,2:48,60,1300,puuvill,303.334,,,2.6000000000000001
2020.4.27 8:15,0:54,30,400,sünteetika,303.61200000000002,303.66300000000001,5.0999999999987722,0.69999999999999996
2020.4.29 10:14,0:47,30,800,villapesu,303.762,303.81,4.8000000000001819,0.5
2020.5.4 20:26,0:47,30,800,villapesu,304.03699999999998,304.09500000000003,5.8000000000049567,0.5
2020.5.4 14:51,3:51,60,1300,puuvill,304.47000000000003,,,1.5
2020.5.16 18:36,0:54,30,400,sünteetika,304.58199999999999,,,0.59999999999999998
2020.5.22 17:24,0:47,30,800,käsipesu,304.89800000000002,,,0.5
2020.5.25 15:01,3:51,40,1300,puuvill,305.06900000000002,305.11200000000002,4.3000000000006366,1.3
2020.5.27 17:33,0:29,30,1000,lühikava,,,,
2020.6.1 17:48,0:29,30,1000,lühikava,305.411,305.43299999999999,2.199999999999136,0.29999999999999999
2020.6.5 19:12,0:54,40,400,sünteetika,305.58999999999997,305.64400000000001,5.4000000000030468,1.1000000000000001
2020.6.6 20:41,0:29,30,1000,lühikava,305.68700000000001,305.71100000000001,2.4000000000000909,0.29999999999999999
2020.6.8 8:21,0:47,40,800,villapesu,305.80700000000002,305.85599999999999,4.8999999999978172,0.90000000000000002
2020.6.11 20:44,0:29,30,1000,lühikava,305.95400000000001,305.97699999999998,2.2999999999967713,0
2020.6.12 12:45,0:47,40,800,villapesu,305.98500000000001,,,0.90000000000000002
2020.6.17 21:11,0:47,30,800,villapesu,306.27199999999999,306.322,5.0000000000011369,0.5
2020.7.08 16:43:59,0:29,30,1000,lühikava,307.37099999999998,307.39600000000002,2.5000000000034106,0.29999999999999999
2020.7.14 21:15:59,0:29,30,1000,lühikava,307.72699999999998,307.75400000000002,2.7000000000043656,0
2020.7.16 21:47:00,0:29,30,1000,lühikava,307.86500000000001,,,
2020.7.31 3:39:00,0:29,30,1000,lühikava,308.65899999999999,,,0.20000000000000001
2020.7.31 23:23:59,0:47,30,800,villapesu,308.74000000000001,,,0.40000000000000002
2020.8.10 11:41:00,0:47,40,800,villapesu,309.15100000000001,309.20299999999997,5.1999999999964075,0.69999999999999996
2020.8.10 13:35:59,1:54:59,60,1000,"segakiud, hygiene+",309.20600000000002,,,2.6000000000000001
2020.8.13 22:12:00,0:29,30,1000,lühikava,309.45100000000002,,,0.10000000000000001
2020.8.14 22:00:59,0:47,40,800,villapesu,309.52499999999998,,,0.90000000000000002
2020.8.25 17:29:00,1:54:59,60,1000,"segakiud, hygiene+",310.13200000000001,,,1.3
2020.8.25 19:37:00,0:47,30,800,käsipesu,310.16300000000001,310.20999999999998,4.6999999999968622,0.10000000000000001
2020.8.27 13:15:00,2:59:00,60,1300,"puuvill, hygiene+",310.33800000000002,,,1.3
2020.8.28 18:27:00,0:47,30,800,villapesu,310.46300000000002,,,0.10000000000000001
2020.8.29 15:04:59,0:47,30,800,villapesu,310.53800000000001,310.59300000000002,5.5000000000006821,0.40000000000000002
2020.8.29 18:40:00,0:29,30,1000,lühikava,310.59699999999998,310.62200000000001,2.5000000000034106,0.10000000000000001
2020.9.03 0:17:00,1:54:59,40,1000,segakiud,310.39299999999997,,,1.2
2020.9.03 13:38:00,0:47,30,800,villapesu,311.04000000000002,,,0.10000000000000001
2020.9.04 13:32:59,0:47,30,800,villapesu,311.25599999999997,,,0.40000000000000002
2020.9.04 20:16:00,1:54:59,40,1000,segakiud,311.28899999999999,311.30900000000003,2.0000000000038654,0.10000000000000001
2020.9.07 18:31:59,0:47,30,800,villapesu,311.47500000000002,311.53199999999998,5.6999999999959527,0.5
2020.9.11 14:16:00,0:29,30,1000,lühikava,311.81,,,0.20000000000000001
2020.9.16 16:54:00,0:47,30,800,villapesu,312.10700000000003,312.16399999999999,5.6999999999959527,0.40000000000000002
2020.9.20 12:53:00,0:47,30,800,villapesu,312.27499999999998,,,1.1000000000000001
2020.9.20 19:30:00,0:29,30,1000,lühikava,312.35300000000001,,,0.20000000000000001
2020.9.21 15:43:59,0:47,30,800,villapesu,312.42500000000001,312.48000000000002,5.5000000000006821,0.40000000000000002
2020.9.25 18:33:59,0:29,30,1000,lühikava,312.697,312.71899999999999,2.199999999999136,0.20000000000000001
2020.9.26 22:05:00,0:47,30,800,villapesu,312.79500000000002,312.84300000000002,4.8000000000001819,1.1000000000000001
2020.9.30 20:29:00,0:47,30,800,villapesu,313.065,,,0.40000000000000002
2020.10.03 12:11:59,0:29,30,1000,lühikava,313.29700000000003,313.31999999999999,2.2999999999967713,0.90000000000000002
2020.10.04 15:30:59,0:47,30,800,villapesu,313.37200000000001,313.42099999999999,4.8999999999978172,0.40000000000000002
2020.10.06 20:15:00,0:47,30,800,villapesu,313.53500000000003,313.59100000000001,5.5999999999983174,0.40000000000000002
2020.10.14 17:03:59,0:47,30,800,villapesu,313.93900000000002,313.995,5.5999999999983174,0.40000000000000002
2020.10.30 12:46:00,0:54,30,400,sünteetika,314.66000000000003,,,0.40000000000000002
2020.10.30 14:16:00,0:54,40,400,sünteetika,314.71199999999999,314.76499999999999,5.2999999999997272,0.40000000000000002
2020.10.30 16:50:00,0:47,40,800,villapesu,314.76499999999999,314.815,5.0000000000011369,0.29999999999999999
